"YAL051W"
"YCR065W"
"YDL020C"
"YDL106C"
"YDR034C"
"YDR146C"
"YDR213W"
"YDR310C"
"YEL009C"
"YFL031W"
"YFR034C"
"YGL071W"
"YHL020C"
"YHR084W"
"YHR124W"
"YHR178W"
"YIL101C"
"YIL131C"
"YIR013C"
"YIR017C"
"YJL056C"
"YJL110C"
"YJR060W"
"YKL109W"
"YKL185W"
"YKR034W"
"YLR013W"
"YLR176C"
"YLR228C"
"YLR256W"
"YLR403W"
"YML007W"
"YNL027W"
"YNL068C"
"YNL167C"
"YNL199C"
"YOL108C"
"YOR337W"
"YOR358W"
"YPL139C"
"YPL177C"
"YPL202C"
"YPL248C"
"YPR065W"
