TF,ydl006w,ylr260w,yil035c,ykl168c,yml016c,ybr097w,ykl126w,yar018c,yhr030c,ykl139w,ydl101c,yjl128c,yer123w,ypl031c,yfr014c,ybr125c,ymr216c,ymr036c,ynl053w,yor061w,ybl016w,yer075c,ydl047w,yfr019w,ybr028c,ykl166c,yol016c,yir026c,ydl159w,ynr032w,ynl099c,yhr025w,yhr079c,ypl140c,ydr477w,ynr031c,ylr362w,ynl298w,ykl048c,ylr113w,yjl095w,ybr274w,yhr082c,ycr091w,yfl033c,yjr059w,ymr139w,ycr008w,ynl307c,ygr123c,yhl007c,wt
yal051w,0.620069107394,0.874067740715,0.92707415583,0.964433888212,0.953135282206,0.656538627775,0.733087966153,0.875450134002,0.921312552577,0.440143182862,0.86943223891,0.86586339717,0.936750818186,0.795711662757,0.880542603007,0.915251609492,0.766258647831,0.904856986667,0.795564638913,0.795365683159,0.744348984796,0.851433555923,0.691944568365,0.837642917255,0.89134600789,0.911015041443,0.891866253103,0.748089204854,1.0,0.924707180018,0.879768946732,0.815317501149,0.789149406033,0.926377318949,0.838889563386,0.832918637274,1.0,0.907006952588,0.813508092032,0.864918341976,0.837055325011,0.90534214778,0.934800778636,0.884494752826,0.86345648043,0.870572502046,0.915453368165,0.838698092747,0.733627377464,0.924451161306,0.955937227441,1.0
ycr065w,0.657910849849,0.868394599073,0.924722380983,0.991394866388,0.934053083691,0.686679819086,0.76109799946,0.890830040216,0.928211930244,0.594048878631,0.875799071365,0.903055062348,0.937764402786,0.859542819101,0.853385994048,0.951349868838,0.778989403561,0.93820943645,0.784926846011,0.834083200365,0.809282926331,0.893735423012,0.75140106,0.828491930507,0.892577330489,0.926406659789,0.893647311495,0.800755631356,0.942660350035,0.89033932559,0.916692497997,0.865985451928,0.768205385279,0.945755699233,0.867972720212,0.870933665774,0.905023038764,0.91049157056,0.829137270511,0.882890463944,0.838786145244,0.930943298797,0.993409152203,0.864551054891,0.886516524094,0.898377543414,0.946735119484,0.879199227289,0.763293037166,0.935058727899,0.911562096789,1.0
ydl020c,0.716394929261,0.842877928171,0.888922329489,0.937428068455,0.943466150329,0.807206803847,0.826188033401,0.854329703674,0.937997617906,0.536410121427,0.909743791326,0.922945228295,0.891771773136,0.874547476311,0.866986288733,0.94588018113,0.804742207118,0.885457310135,0.83369961142,0.902821447224,0.721583901826,0.952326995636,0.701028058153,0.872791265788,0.894504835892,0.974138147437,0.901295364694,0.665553330943,0.935100333214,0.892362250979,0.908391078164,0.897597724944,0.652630798703,0.929851667128,0.88130735213,0.852069320719,0.83566405573,0.861125798253,0.849687119407,0.851340347124,0.694259962534,0.871555530842,0.950863451795,0.838476983084,0.851577592456,0.882373440535,0.920235916896,0.865351339511,0.696277568159,0.922852128989,0.902892294907,1.0
ydl106c,0.73702478626,0.837892714256,0.865069897802,0.964940005472,0.92263029287,0.807048916055,0.7801617675,0.846339859337,0.916060210533,0.47277681504,0.895868935439,0.92176811682,0.935084554666,0.907678590926,0.891259053898,0.937345779882,0.76410388962,0.857153941423,0.769123335636,0.821805159434,0.770598841996,0.89003493954,0.669364916684,0.849750895268,0.894630937597,0.973090454172,0.895209614086,0.697096711117,0.87248282492,0.919728157633,0.914947309014,0.883061969462,0.744515409977,0.944995208577,0.806423297231,0.884513656784,0.928675093661,0.850828317686,0.782512002438,0.880579224312,0.883953466937,0.979577545665,0.965381828741,0.838119791507,0.834497047598,0.87572847624,0.95611645233,0.833854883182,0.68455678113,0.884215700579,0.903588280415,1.0
ydr034c,0.71605899147,0.868530339301,0.891925638767,1.0,0.886217485429,0.552537289222,0.7784462713,0.894085319802,0.995531718422,0.288288722801,1.0,0.931045583362,0.871618236636,0.756519949159,0.832996449979,0.839496168693,0.812995933628,0.852033638984,0.816283989356,0.828756608754,0.862144771463,0.916663270555,0.603509713378,0.886544983787,0.776428652133,0.854921871998,0.849739419334,0.517512575184,0.856895112858,0.947118669743,0.889808224481,0.750152513888,0.859568330543,0.993518029182,0.72607403881,0.89449184959,0.921481894167,0.910000390344,0.755304727838,0.966735901397,0.805138012953,0.838003264757,0.928378198146,0.874675272605,0.876394281874,0.88261752367,0.841198131929,0.845891691775,0.740473870581,0.922505464117,0.906577557081,1.0
ydr146c,0.61713322764,0.8069202194,0.89362078823,0.930383496759,0.964114755291,0.690096700952,0.773426537264,0.885072023415,0.900341952092,0.488387254077,0.936196115192,0.913845795743,0.928747360706,0.877307592292,0.890052913463,0.94997598845,0.83388992823,0.913413331441,0.742477518,0.845963876073,0.773096127234,0.94910045194,0.634764163915,0.751041810061,0.865516945386,0.954334249073,0.886534658223,0.615265223327,0.917524187723,0.908286770501,0.893460158069,0.872915688413,0.706857271971,0.931289138271,0.877364528762,0.877018618973,0.90753844057,0.892815650497,0.844899600087,0.893801695822,0.801140274261,0.87080135511,0.952518618392,0.82835289864,0.817524771558,0.891740093713,0.931470629032,0.852299359299,0.713101761929,0.925223695785,0.887758963351,1.0
ydr213w,0.674532150665,0.782682165925,0.923083250386,0.934401664622,0.908567256776,0.762567589683,0.749704667191,0.827838895496,0.95207501644,0.223448153064,0.910574105379,0.887249758744,0.933388658947,0.881799499258,0.922751031366,0.941228968245,0.828861597105,0.832184168282,0.710209648364,0.841489602054,0.736420005195,0.897675860072,0.567215970375,0.852810329466,0.818456536766,0.98587586073,0.938204181369,0.561147384057,0.910337276689,0.895756283282,0.95621847665,0.902999924275,0.706897567897,0.974000974056,0.880544272803,0.884475011812,0.900349252455,0.863051879021,0.790688918107,0.904838706205,0.769765371661,0.900078135218,0.920593976938,0.897488485978,0.909971000785,0.932490506601,0.910386506348,0.880687620516,0.657551903918,0.913089476074,0.900209167741,1.0
ydr310c,0.60282486391,0.885953283196,0.937150603906,0.940889698484,0.923717544946,0.717383147227,0.773353519196,0.891131879485,0.929684646969,0.45834411433,0.883835474036,0.912996025057,0.926553953482,0.850783536696,0.886489055346,0.938037821375,0.810861708266,0.876578942346,0.789650925692,0.851302069815,0.820552630554,0.917538292277,0.647203173124,0.857470041616,0.895276673871,0.932111806984,0.903593288888,0.675207522393,0.950510318922,0.897987125356,0.869301911739,0.857706823255,0.758882848942,0.925047181779,0.878919111401,0.873409447524,0.895695230897,0.901674436036,0.832057717133,0.894118449434,0.838995722299,0.879964170662,0.950370910007,0.877944200254,0.860333446405,0.901779300238,0.930611753982,0.881093285359,0.703185181177,0.912366725403,0.877937210924,1.0
yel009c,0.921169467864,0.767303853994,0.838076263366,0.947123444952,1.0,0.97049269122,0.91019005448,0.813807201826,0.859423215387,0.677046142552,0.949381265193,0.84671219452,0.92805871733,0.886550832816,0.93179973888,1.0,0.761121498647,0.908644350838,0.819877755398,0.903432904656,0.600199284283,0.981378808325,0.79777566753,0.896899058955,0.897072300834,0.992036198818,0.947634110103,0.576819817521,0.915290033952,0.915142418734,0.906196925671,1.0,0.519393842496,0.874625653463,0.794684141591,0.771883696155,0.959883089906,0.836067274837,0.86512310507,0.812581692779,0.887981519962,0.93062266233,0.949650064396,0.76288443465,0.768056807493,0.879644477105,0.903960299691,0.805286186448,0.642506634232,0.864058598769,0.970396784265,1.0
yfl031w,0.676633500632,0.896993877978,0.924523008133,0.937909177938,0.934335873015,0.769359045303,0.854047711884,0.914820854887,0.905737621982,0.515484619015,0.903140580294,0.936205654478,0.944127604985,0.966778913875,0.897504747476,0.915814405268,0.835464613282,0.903000111054,0.801001572351,0.903173396859,0.826808385294,0.942375987536,0.700088797364,0.878068673218,0.872700910328,0.939765430007,0.908098291167,0.675128937267,0.926249538653,0.903850220333,0.882427805575,0.887142728522,0.755985452044,0.920092979911,0.874035648752,0.881180281074,0.887417198619,0.915760859831,0.884171209799,0.91622339623,0.822876919682,0.857923688733,0.922452279194,0.887583773297,0.861688669764,0.913153273899,0.915255575357,0.875947828276,0.736107154575,0.915755285678,0.885842754335,1.0
